更新时间,#genre#
世界地理,http://60.2.190.206:4000/udp/239.253.92.131:6113$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.113:8066$订阅源

📡卫视频道,#genre#
广东卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010055/1.m3u8$订阅源-IPv6
广东卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3$订阅源-IPv6
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8$订阅源-IPv6
广东卫视,http://123.113.187.204:8000/udp/239.3.1.142:8048$订阅源
广东卫视,http://60.2.190.206:4000/udp/239.253.92.206:8108$订阅源
广东卫视,http://222.142.65.165:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://123.113.187.204:8000/rtp/239.3.1.142:8048$组播源
广东卫视,http://60.2.190.206:4000/rtp/239.253.92.206:8108$组播源
广东卫视,http://222.129.139.229:8888/rtp/239.3.1.142:8048$组播源
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1549378093_1832251100/ott.mobaibox.com/PLTV/3/224/3221227215/index.m3u8?icpid=3&RTS=1674385959&from=40&popid=40&hms_devid=2036&prioritypopid=40&vqe=3$订阅源-IPv6
浙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001023/index.m3u8$订阅源-IPv6
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0c]:80/wh7f454c46tw2054729514_1244097787/ott.mobaibox.com/PLTV/3/224/3221227744/index.m3u8?icpid=3&RTS=1674386465&from=40&popid=40&hms_devid=2040&prioritypopid=40&vqe=3$订阅源-IPv6
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://123.113.187.204:8000/udp/239.3.1.137:8036$订阅源
浙江卫视,http://123.113.187.204:8000/rtp/239.3.1.137:8036$组播源
浙江卫视,http://60.2.190.206:4000/rtp/239.253.92.90:8020$组播源
浙江卫视,http://222.129.139.229:8888/rtp/239.3.1.137:8036$组播源
湖南卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000006692/1.m3u8?channel-id=bestzb&Contentid=5000000004000006692&livemode=1&stbId=3$订阅源-IPv6
湖南卫视,http://[2409:8087:1a0a:df::402e]:80/wh7f454c46tw3107212859_-133726409/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8?icpid=88888888&RTS=1713969936&from=4&hms_devid=1103&online=1713969936&vqe=3$订阅源-IPv6
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/$订阅源-IPv6
湖南卫视,http://123.113.187.204:8000/udp/239.3.1.132:8012$订阅源
湖南卫视,http://60.2.190.206:4000/udp/239.253.92.84:8015$订阅源
湖南卫视,http://222.142.65.165:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://123.113.187.204:8000/rtp/239.3.1.132:8012$组播源
湖南卫视,http://60.2.190.206:4000/rtp/239.253.92.84:8015$组播源
湖南卫视,http://222.129.139.229:8888/rtp/239.3.1.132:8012$组播源
北京卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226450/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226739/index.m3u8$订阅源-IPv6
北京卫视,http://123.113.187.204:8000/udp/239.3.1.241:8000$订阅源
北京卫视,http://60.2.190.206:4000/udp/239.253.92.87:8014$订阅源
北京卫视,http://222.142.65.165:9901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://123.113.187.204:8000/rtp/239.3.1.241:8000$组播源
北京卫视,http://60.2.190.206:4000/rtp/239.253.92.87:8014$组播源
北京卫视,http://222.129.139.229:8888/rtp/239.3.1.241:8000$组播源
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226477/index.m3u8$订阅源-IPv6
湖北卫视,http://[2409:8087:1a0a:df::4031]:80/wh7f454c46tw2442481903_293409364/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8?icpid=88888888&RTS=1713969271&from=4&hms_devid=1143&online=1713969271&vqe=3$订阅源-IPv6
湖北卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000015436/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015436&livemode=1&stbId=3$订阅源-IPv6
湖北卫视,http://123.113.187.204:8000/udp/239.3.1.138:8044$订阅源
湖北卫视,http://60.2.190.206:4000/udp/239.253.92.210:6567$订阅源
湖北卫视,http://222.142.65.165:9901/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://123.113.187.204:8000/rtp/239.3.1.138:8044$组播源
湖北卫视,http://60.2.190.206:4000/rtp/239.253.92.210:6567$组播源
湖北卫视,http://222.129.139.229:8888/rtp/239.3.1.138:8044$组播源
黑龙江卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000521/index.m3u8?$订阅源-IPv6
黑龙江卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$订阅源-IPv6
黑龙江卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010056/$订阅源-IPv6
黑龙江卫视,http://123.113.187.204:8000/udp/239.3.1.133:8016$订阅源
黑龙江卫视,http://60.2.190.206:4000/udp/239.253.92.85:8016$订阅源
黑龙江卫视,http://222.142.65.165:9901/tsfile/live/0143_1.m3u8$订阅源
黑龙江卫视,http://123.113.187.204:8000/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://60.2.190.206:4000/rtp/239.253.92.85:8016$组播源
黑龙江卫视,http://222.129.139.229:8888/rtp/239.3.1.133:8016$组播源
安徽卫视,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178$订阅源-IPv6
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020780/1.m3u8$订阅源-IPv6
安徽卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
安徽卫视,http://123.113.187.204:8000/udp/239.3.1.211:8064$订阅源
安徽卫视,http://60.2.190.206:4000/udp/239.253.92.209:6566$订阅源
安徽卫视,http://222.142.65.165:9901/tsfile/live/0130_1.m3u8$订阅源
安徽卫视,http://123.113.187.204:8000/rtp/239.3.1.211:8064$组播源
安徽卫视,http://60.2.190.206:4000/rtp/239.253.92.209:6566$组播源
安徽卫视,http://222.129.139.229:8888/rtp/239.3.1.211:8064$组播源
重庆卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000517/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000517$订阅源-IPv6
重庆卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010218/1.m3u8$订阅源-IPv6
重庆卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000517/index.m3u8$订阅源-IPv6
重庆卫视,http://123.113.187.204:8000/udp/239.3.1.122:8160$订阅源
重庆卫视,http://60.2.190.206:4000/udp/239.253.92.10:6053$订阅源
重庆卫视,http://222.142.65.165:9901/tsfile/live/0142_1.m3u8$订阅源
重庆卫视,http://123.113.187.204:8000/rtp/239.3.1.122:8160$组播源
重庆卫视,http://60.2.190.206:4000/rtp/239.253.92.10:6053$组播源
重庆卫视,http://222.129.139.229:8888/rtp/239.3.1.122:8160$组播源
东方卫视,http://[2409:8087:1a0a:df::402d]:80/wh7f454c46tw2920536473_465873356/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8?icpid=88888888&RTS=1713969749&from=4&hms_devid=1103&online=1713969749&vqe=3$订阅源-IPv6
